Property,Parameter,Event Number,Event Name,Parameter Value
YAxis, Prior distribution paramter 1, 6,Fault,1716.82234995
YAxis, Prior distribution paramter 2, 6,Fault,1897.54049205
ZAxis, Prior distribution type, 6,Fault,Uniform
ZAxis, Prior distribution paramter 1, 6,Fault,1716.82234995
ZAxis, Prior distribution paramter 2, 6,Fault,1897.54049205
Dip, Prior distribution type, 6,Fault,Uniform
Dip, Prior distribution paramter 1, 6,Fault,60
Dip, Prior distribution paramter 2, 6,Fault,80
Dip Direction, Prior distribution type, 6,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 6,Fault,297.115298
Dip Direction, Prior distribution paramter 2, 6,Fault,317.115298
Slip, Prior distribution type, 6,Fault,Uniform
Slip, Prior distribution paramter 1, 6,Fault,115.6596112
Slip, Prior distribution paramter 2, 6,Fault,144.574514
X, Prior distribution type, 7,Fault,Uniform
X, Prior distribution paramter 1, 7,Fault,3417.730803
X, Prior distribution paramter 2, 7,Fault,3677.730803
Y, Prior distribution type, 7,Fault,Uniform
Y, Prior distribution paramter 1, 7,Fault,2244.004055
Y, Prior distribution paramter 2, 7,Fault,2504.004055
Z, Prior distribution type, 7,Fault,Uniform
Z, Prior distribution paramter 1, 7,Fault,3870.0
Z, Prior distribution paramter 2, 7,Fault,4130.0
XAxis, Prior distribution type, 7,Fault,Uniform
XAxis, Prior distribution paramter 1, 7,Fault,131.50276105
XAxis, Prior distribution paramter 2, 7,Fault,145.34515695
YAxis, Prior distribution type, 7,Fault,Uniform
YAxis, Prior distribution paramter 1, 7,Fault,131.50276105
YAxis, Prior distribution paramter 2, 7,Fault,145.34515695
ZAxis, Prior distribution type, 7,Fault,Uniform
ZAxis, Prior distribution paramter 1, 7,Fault,131.50276105
ZAxis, Prior distribution paramter 2, 7,Fault,145.34515695
Dip, Prior distribution type, 7,Fault,Uniform
Dip, Prior distribution paramter 1, 7,Fault,60
Dip, Prior distribution paramter 2, 7,Fault,80
Dip Direction, Prior distribution type, 7,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 7,Fault,315.097206
Dip Direction, Prior distribution paramter 2, 7,Fault,335.097206
Slip, Prior distribution type, 7,Fault,Uniform
Slip, Prior distribution paramter 1, 7,Fault,8.8591336
Slip, Prior distribution paramter 2, 7,Fault,11.073917
X, Prior distribution type, 8,Fault,Uniform
X, Prior distribution paramter 1, 8,Fault,4374.873371
X, Prior distribution paramter 2, 8,Fault,4634.873371
Y, Prior distribution type, 8,Fault,Uniform
Y, Prior distribution paramter 1, 8,Fault,2691.994337
Y, Prior distribution paramter 2, 8,Fault,2951.994337
Z, Prior distribution type, 8,Fault,Uniform
Z, Prior distribution paramter 1, 8,Fault,3870.0
Z, Prior distribution paramter 2, 8,Fault,4130.0
XAxis, Prior distribution type, 8,Fault,Uniform
XAxis, Prior distribution paramter 1, 8,Fault,140.36163455
XAxis, Prior distribution paramter 2, 8,Fault,155.13654345
YAxis, Prior distribution type, 8,Fault,Uniform
YAxis, Prior distribution paramter 1, 8,Fault,140.36163455
YAxis, Prior distribution paramter 2, 8,Fault,155.13654345
ZAxis, Prior distribution type, 8,Fault,Uniform
ZAxis, Prior distribution paramter 1, 8,Fault,140.36163455
ZAxis, Prior distribution paramter 2, 8,Fault,155.13654345
Dip, Prior distribution type, 8,Fault,Uniform
Dip, Prior distribution paramter 1, 8,Fault,60
Dip, Prior distribution paramter 2, 8,Fault,80
Dip Direction, Prior distribution type, 8,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 8,Fault,264.358186
Dip Direction, Prior distribution paramter 2, 8,Fault,284.358186
Slip, Prior distribution type, 8,Fault,Uniform
Slip, Prior distribution paramter 1, 8,Fault,9.455941600000001
Slip, Prior distribution paramter 2, 8,Fault,11.819927
X, Prior distribution type, 9,Fault,Uniform
X, Prior distribution paramter 1, 9,Fault,4906.179069
X, Prior distribution paramter 2, 9,Fault,5166.179069
Y, Prior distribution type, 9,Fault,Uniform
Y, Prior distribution paramter 1, 9,Fault,3313.790858
Y, Prior distribution paramter 2, 9,Fault,3573.790858
Z, Prior distribution type, 9,Fault,Uniform
Z, Prior distribution paramter 1, 9,Fault,3870.0
Z, Prior distribution paramter 2, 9,Fault,4130.0
XAxis, Prior distribution type, 9,Fault,Uniform
XAxis, Prior distribution paramter 1, 9,Fault,294.36242384999997
XAxis, Prior distribution paramter 2, 9,Fault,325.34794215000005
YAxis, Prior distribution type, 9,Fault,Uniform
YAxis, Prior distribution paramter 1, 9,Fault,294.36242384999997
YAxis, Prior distribution paramter 2, 9,Fault,325.34794215000005
ZAxis, Prior distribution type, 9,Fault,Uniform
ZAxis, Prior distribution paramter 1, 9,Fault,294.36242384999997
ZAxis, Prior distribution paramter 2, 9,Fault,325.34794215000005
Dip, Prior distribution type, 9,Fault,Uniform
Dip, Prior distribution paramter 1, 9,Fault,60
Dip, Prior distribution paramter 2, 9,Fault,80
Dip Direction, Prior distribution type, 9,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 9,Fault,311.407848
Dip Direction, Prior distribution paramter 2, 9,Fault,331.407848
Slip, Prior distribution type, 9,Fault,Uniform
Slip, Prior distribution paramter 1, 9,Fault,19.830732
Slip, Prior distribution paramter 2, 9,Fault,24.788415
X, Prior distribution type, 10,Fault,Uniform
X, Prior distribution paramter 1, 10,Fault,5487.921507
X, Prior distribution paramter 2, 10,Fault,5747.921507
Y, Prior distribution type, 10,Fault,Uniform
Y, Prior distribution paramter 1, 10,Fault,3740.963157
Y, Prior distribution paramter 2, 10,Fault,4000.963157
Z, Prior distribution type, 10,Fault,Uniform
Z, Prior distribution paramter 1, 10,Fault,3870.0
Z, Prior distribution paramter 2, 10,Fault,4130.0
XAxis, Prior distribution type, 10,Fault,Uniform
XAxis, Prior distribution paramter 1, 10,Fault,200.62832545
XAxis, Prior distribution paramter 2, 10,Fault,221.74709655
YAxis, Prior distribution type, 10,Fault,Uniform
YAxis, Prior distribution paramter 1, 10,Fault,200.62832545
YAxis, Prior distribution paramter 2, 10,Fault,221.74709655
ZAxis, Prior distribution type, 10,Fault,Uniform
ZAxis, Prior distribution paramter 1, 10,Fault,200.62832545
ZAxis, Prior distribution paramter 2, 10,Fault,221.74709655
Dip, Prior distribution type, 10,Fault,Uniform
Dip, Prior distribution paramter 1, 10,Fault,60
Dip, Prior distribution paramter 2, 10,Fault,80
Dip Direction, Prior distribution type, 10,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 10,Fault,260.689419
Dip Direction, Prior distribution paramter 2, 10,Fault,280.689419
Slip, Prior distribution type, 10,Fault,Uniform
Slip, Prior distribution paramter 1, 10,Fault,13.5160136
Slip, Prior distribution paramter 2, 10,Fault,16.895017
X, Prior distribution type, 11,Fault,Uniform
X, Prior distribution paramter 1, 11,Fault,4811.438
X, Prior distribution paramter 2, 11,Fault,5071.438
Y, Prior distribution type, 11,Fault,Uniform
Y, Prior distribution paramter 1, 11,Fault,2659.4025
Y, Prior distribution paramter 2, 11,Fault,2919.4025
Z, Prior distribution type, 11,Fault,Uniform
Z, Prior distribution paramter 1, 11,Fault,3870.0
Z, Prior distribution paramter 2, 11,Fault,4130.0
XAxis, Prior distribution type, 11,Fault,Uniform
XAxis, Prior distribution paramter 1, 11,Fault,193.5145364
XAxis, Prior distribution paramter 2, 11,Fault,213.8844876
YAxis, Prior distribution type, 11,Fault,Uniform
YAxis, Prior distribution paramter 1, 11,Fault,193.5145364
YAxis, Prior distribution paramter 2, 11,Fault,213.8844876
ZAxis, Prior distribution type, 11,Fault,Uniform
ZAxis, Prior distribution paramter 1, 11,Fault,193.5145364
ZAxis, Prior distribution paramter 2, 11,Fault,213.8844876
Dip, Prior distribution type, 11,Fault,Uniform
Dip, Prior distribution paramter 1, 11,Fault,60
Dip, Prior distribution paramter 2, 11,Fault,80
Dip Direction, Prior distribution type, 11,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 11,Fault,306.273114
Dip Direction, Prior distribution paramter 2, 11,Fault,326.273114
Slip, Prior distribution type, 11,Fault,Uniform
Slip, Prior distribution paramter 1, 11,Fault,13.036768799999999
Slip, Prior distribution paramter 2, 11,Fault,16.295961
X, Prior distribution type, 12,Fault,Uniform
X, Prior distribution paramter 1, 12,Fault,5246.644
X, Prior distribution paramter 2, 12,Fault,5506.644
Y, Prior distribution type, 12,Fault,Uniform
Y, Prior distribution paramter 1, 12,Fault,2198.5965
Y, Prior distribution paramter 2, 12,Fault,2458.5965
Z, Prior distribution type, 12,Fault,Uniform
Z, Prior distribution paramter 1, 12,Fault,3870.0
Z, Prior distribution paramter 2, 12,Fault,4130.0
XAxis, Prior distribution type, 12,Fault,Uniform
XAxis, Prior distribution paramter 1, 12,Fault,182.90852265
XAxis, Prior distribution paramter 2, 12,Fault,202.16205135
YAxis, Prior distribution type, 12,Fault,Uniform
YAxis, Prior distribution paramter 1, 12,Fault,182.90852265
YAxis, Prior distribution paramter 2, 12,Fault,202.16205135
ZAxis, Prior distribution type, 12,Fault,Uniform
ZAxis, Prior distribution paramter 1, 12,Fault,182.90852265
ZAxis, Prior distribution paramter 2, 12,Fault,202.16205135
Dip, Prior distribution type, 12,Fault,Uniform
Dip, Prior distribution paramter 1, 12,Fault,60
Dip, Prior distribution paramter 2, 12,Fault,80
Dip Direction, Prior distribution type, 12,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 12,Fault,281.447741
Dip Direction, Prior distribution paramter 2, 12,Fault,301.447741
Slip, Prior distribution type, 12,Fault,Uniform
Slip, Prior distribution paramter 1, 12,Fault,12.3222584
Slip, Prior distribution paramter 2, 12,Fault,15.402823
X, Prior distribution type, 13,Fault,Uniform
X, Prior distribution paramter 1, 13,Fault,6578.048464
X, Prior distribution paramter 2, 13,Fault,6838.048464
Y, Prior distribution type, 13,Fault,Uniform
Y, Prior distribution paramter 1, 13,Fault,4019.7368450000004
Y, Prior distribution paramter 2, 13,Fault,4279.736845
Z, Prior distribution type, 13,Fault,Uniform
Z, Prior distribution paramter 1, 13,Fault,3870.0
Z, Prior distribution paramter 2, 13,Fault,4130.0
XAxis, Prior distribution type, 13,Fault,Uniform
XAxis, Prior distribution paramter 1, 13,Fault,2112.75317355
XAxis, Prior distribution paramter 2, 13,Fault,2335.14824445
YAxis, Prior distribution type, 13,Fault,Uniform
YAxis, Prior distribution paramter 1, 13,Fault,2112.75317355
YAxis, Prior distribution paramter 2, 13,Fault,2335.14824445
ZAxis, Prior distribution type, 13,Fault,Uniform
ZAxis, Prior distribution paramter 1, 13,Fault,2112.75317355
ZAxis, Prior distribution paramter 2, 13,Fault,2335.14824445
Dip, Prior distribution type, 13,Fault,Uniform
Dip, Prior distribution paramter 1, 13,Fault,60
Dip, Prior distribution paramter 2, 13,Fault,80
Dip Direction, Prior distribution type, 13,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 13,Fault,119.881
Dip Direction, Prior distribution paramter 2, 13,Fault,139.881
Slip, Prior distribution type, 13,Fault,Uniform
Slip, Prior distribution paramter 1, 13,Fault,142.3328456
Slip, Prior distribution paramter 2, 13,Fault,177.916057
X, Prior distribution type, 14,Fault,Uniform
X, Prior distribution paramter 1, 14,Fault,6789.0655
X, Prior distribution paramter 2, 14,Fault,7049.0655
Y, Prior distribution type, 14,Fault,Uniform
Y, Prior distribution paramter 1, 14,Fault,4329.8255
Y, Prior distribution paramter 2, 14,Fault,4589.8255
Z, Prior distribution type, 14,Fault,Uniform
Z, Prior distribution paramter 1, 14,Fault,3870.0
Z, Prior distribution paramter 2, 14,Fault,4130.0
XAxis, Prior distribution type, 14,Fault,Uniform
XAxis, Prior distribution paramter 1, 14,Fault,394.08135599999997
XAxis, Prior distribution paramter 2, 14,Fault,435.563604
YAxis, Prior distribution type, 14,Fault,Uniform
YAxis, Prior distribution paramter 1, 14,Fault,394.08135599999997
YAxis, Prior distribution paramter 2, 14,Fault,435.563604
ZAxis, Prior distribution type, 14,Fault,Uniform
ZAxis, Prior distribution paramter 1, 14,Fault,394.08135599999997
ZAxis, Prior distribution paramter 2, 14,Fault,435.563604
Dip, Prior distribution type, 14,Fault,Uniform
Dip, Prior distribution paramter 1, 14,Fault,60
Dip, Prior distribution paramter 2, 14,Fault,80
Dip Direction, Prior distribution type, 14,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 14,Fault,118.107574
Dip Direction, Prior distribution paramter 2, 14,Fault,138.107574
Slip, Prior distribution type, 14,Fault,Uniform
Slip, Prior distribution paramter 1, 14,Fault,26.5486384
Slip, Prior distribution paramter 2, 14,Fault,33.185798
X, Prior distribution type, 15,Fault,Uniform
X, Prior distribution paramter 1, 15,Fault,4859.711811
X, Prior distribution paramter 2, 15,Fault,5119.711811
Y, Prior distribution type, 15,Fault,Uniform
Y, Prior distribution paramter 1, 15,Fault,8108.020938
Y, Prior distribution paramter 2, 15,Fault,8368.020938
Z, Prior distribution type, 15,Fault,Uniform
Z, Prior distribution paramter 1, 15,Fault,3870.0
Z, Prior distribution paramter 2, 15,Fault,4130.0
XAxis, Prior distribution type, 15,Fault,Uniform
XAxis, Prior distribution paramter 1, 15,Fault,3806.0563962999995
XAxis, Prior distribution paramter 2, 15,Fault,4206.6939117
YAxis, Prior distribution type, 15,Fault,Uniform
YAxis, Prior distribution paramter 1, 15,Fault,3806.0563962999995
YAxis, Prior distribution paramter 2, 15,Fault,4206.6939117
ZAxis, Prior distribution type, 15,Fault,Uniform
ZAxis, Prior distribution paramter 1, 15,Fault,3806.0563962999995
ZAxis, Prior distribution paramter 2, 15,Fault,4206.6939117
Dip, Prior distribution type, 15,Fault,Uniform
Dip, Prior distribution paramter 1, 15,Fault,60
Dip, Prior distribution paramter 2, 15,Fault,80
Dip Direction, Prior distribution type, 15,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 15,Fault,293.621835
Dip Direction, Prior distribution paramter 2, 15,Fault,313.621835
Slip, Prior distribution type, 15,Fault,Uniform
Slip, Prior distribution paramter 1, 15,Fault,256.4080096
Slip, Prior distribution paramter 2, 15,Fault,320.510012
X, Prior distribution type, 16,Fault,Uniform
X, Prior distribution paramter 1, 16,Fault,5414.747336
X, Prior distribution paramter 2, 16,Fault,5674.747336
Y, Prior distribution type, 16,Fault,Uniform
Y, Prior distribution paramter 1, 16,Fault,7929.400594
Y, Prior distribution paramter 2, 16,Fault,8189.400594
Z, Prior distribution type, 16,Fault,Uniform
Z, Prior distribution paramter 1, 16,Fault,3870.0
Z, Prior distribution paramter 2, 16,Fault,4130.0
XAxis, Prior distribution type, 16,Fault,Uniform
XAxis, Prior distribution paramter 1, 16,Fault,3877.1088295499994
XAxis, Prior distribution paramter 2, 16,Fault,4285.22554845
YAxis, Prior distribution type, 16,Fault,Uniform
YAxis, Prior distribution paramter 1, 16,Fault,3877.1088295499994
YAxis, Prior distribution paramter 2, 16,Fault,4285.22554845
ZAxis, Prior distribution type, 16,Fault,Uniform
ZAxis, Prior distribution paramter 1, 16,Fault,3877.1088295499994
ZAxis, Prior distribution paramter 2, 16,Fault,4285.22554845
Dip, Prior distribution type, 16,Fault,Uniform
Dip, Prior distribution paramter 1, 16,Fault,60
Dip, Prior distribution paramter 2, 16,Fault,80
Dip Direction, Prior distribution type, 16,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 16,Fault,293.191417
Dip Direction, Prior distribution paramter 2, 16,Fault,313.191417
Slip, Prior distribution type, 16,Fault,Uniform
Slip, Prior distribution paramter 1, 16,Fault,261.1947
Slip, Prior distribution paramter 2, 16,Fault,326.493375
X, Prior distribution type, 17,Fault,Uniform
X, Prior distribution paramter 1, 17,Fault,6827.512945
X, Prior distribution paramter 2, 17,Fault,7087.512945
Y, Prior distribution type, 17,Fault,Uniform
Y, Prior distribution paramter 1, 17,Fault,5240.41257
Y, Prior distribution paramter 2, 17,Fault,5500.41257
Z, Prior distribution type, 17,Fault,Uniform
Z, Prior distribution paramter 1, 17,Fault,3870.0
Z, Prior distribution paramter 2, 17,Fault,4130.0
XAxis, Prior distribution type, 17,Fault,Uniform
XAxis, Prior distribution paramter 1, 17,Fault,316.21848105
XAxis, Prior distribution paramter 2, 17,Fault,349.50463695
YAxis, Prior distribution type, 17,Fault,Uniform
YAxis, Prior distribution paramter 1, 17,Fault,316.21848105
YAxis, Prior distribution paramter 2, 17,Fault,349.50463695
ZAxis, Prior distribution type, 17,Fault,Uniform
ZAxis, Prior distribution paramter 1, 17,Fault,316.21848105
ZAxis, Prior distribution paramter 2, 17,Fault,349.50463695
Dip, Prior distribution type, 17,Fault,Uniform
Dip, Prior distribution paramter 1, 17,Fault,60
Dip, Prior distribution paramter 2, 17,Fault,80
Dip Direction, Prior distribution type, 17,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 17,Fault,28.261836000000002
Dip Direction, Prior distribution paramter 2, 17,Fault,48.261836
Slip, Prior distribution type, 17,Fault,Uniform
Slip, Prior distribution paramter 1, 17,Fault,21.30314
Slip, Prior distribution paramter 2, 17,Fault,26.628925
X, Prior distribution type, 18,Fault,Uniform
X, Prior distribution paramter 1, 18,Fault,8844.834697
X, Prior distribution paramter 2, 18,Fault,9104.834697
Y, Prior distribution type, 18,Fault,Uniform
Y, Prior distribution paramter 1, 18,Fault,6311.748895
Y, Prior distribution paramter 2, 18,Fault,6571.748895
Z, Prior distribution type, 18,Fault,Uniform
Z, Prior distribution paramter 1, 18,Fault,3870.0
Z, Prior distribution paramter 2, 18,Fault,4130.0
XAxis, Prior distribution type, 18,Fault,Uniform
XAxis, Prior distribution paramter 1, 18,Fault,1425.08561115
XAxis, Prior distribution paramter 2, 18,Fault,1575.09462285
YAxis, Prior distribution type, 18,Fault,Uniform
YAxis, Prior distribution paramter 1, 18,Fault,1425.08561115
YAxis, Prior distribution paramter 2, 18,Fault,1575.09462285
ZAxis, Prior distribution type, 18,Fault,Uniform
ZAxis, Prior distribution paramter 1, 18,Fault,1425.08561115
ZAxis, Prior distribution paramter 2, 18,Fault,1575.09462285
Dip, Prior distribution type, 18,Fault,Uniform
Dip, Prior distribution paramter 1, 18,Fault,60
Dip, Prior distribution paramter 2, 18,Fault,80
Dip Direction, Prior distribution type, 18,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 18,Fault,137.463754
Dip Direction, Prior distribution paramter 2, 18,Fault,157.463754
Slip, Prior distribution type, 18,Fault,Uniform
Slip, Prior distribution paramter 1, 18,Fault,96.00576720000001
Slip, Prior distribution paramter 2, 18,Fault,120.007209
X, Prior distribution type, 19,Fault,Uniform
X, Prior distribution paramter 1, 19,Fault,8906.610568
X, Prior distribution paramter 2, 19,Fault,9166.610568
Y, Prior distribution type, 19,Fault,Uniform
Y, Prior distribution paramter 1, 19,Fault,7866.722726
Y, Prior distribution paramter 2, 19,Fault,8126.722726
Z, Prior distribution type, 19,Fault,Uniform
Z, Prior distribution paramter 1, 19,Fault,3870.0
Z, Prior distribution paramter 2, 19,Fault,4130.0
XAxis, Prior distribution type, 19,Fault,Uniform
XAxis, Prior distribution paramter 1, 19,Fault,1532.2406265
XAxis, Prior distribution paramter 2, 19,Fault,1693.5291135000002
YAxis, Prior distribution type, 19,Fault,Uniform
YAxis, Prior distribution paramter 1, 19,Fault,1532.2406265
YAxis, Prior distribution paramter 2, 19,Fault,1693.5291135000002
ZAxis, Prior distribution type, 19,Fault,Uniform
ZAxis, Prior distribution paramter 1, 19,Fault,1532.2406265
ZAxis, Prior distribution paramter 2, 19,Fault,1693.5291135000002
Dip, Prior distribution type, 19,Fault,Uniform
Dip, Prior distribution paramter 1, 19,Fault,60
Dip, Prior distribution paramter 2, 19,Fault,80
Dip Direction, Prior distribution type, 19,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 19,Fault,91.399165
Dip Direction, Prior distribution paramter 2, 19,Fault,111.399165
Slip, Prior distribution type, 19,Fault,Uniform
Slip, Prior distribution paramter 1, 19,Fault,103.224632
Slip, Prior distribution paramter 2, 19,Fault,129.03079
X, Prior distribution type, 20,Fault,Uniform
X, Prior distribution paramter 1, 20,Fault,8489.78684
X, Prior distribution paramter 2, 20,Fault,8749.78684
Y, Prior distribution type, 20,Fault,Uniform
Y, Prior distribution paramter 1, 20,Fault,8024.314518
Y, Prior distribution paramter 2, 20,Fault,8284.314518
Z, Prior distribution type, 20,Fault,Uniform
Z, Prior distribution paramter 1, 20,Fault,3870.0
Z, Prior distribution paramter 2, 20,Fault,4130.0
XAxis, Prior distribution type, 20,Fault,Uniform
XAxis, Prior distribution paramter 1, 20,Fault,1779.72559865
XAxis, Prior distribution paramter 2, 20,Fault,1967.0651353500002
YAxis, Prior distribution type, 20,Fault,Uniform
YAxis, Prior distribution paramter 1, 20,Fault,1779.72559865
YAxis, Prior distribution paramter 2, 20,Fault,1967.0651353500002
ZAxis, Prior distribution type, 20,Fault,Uniform
ZAxis, Prior distribution paramter 1, 20,Fault,1779.72559865
ZAxis, Prior distribution paramter 2, 20,Fault,1967.0651353500002
Dip, Prior distribution type, 20,Fault,Uniform
Dip, Prior distribution paramter 1, 20,Fault,60
Dip, Prior distribution paramter 2, 20,Fault,80
Dip Direction, Prior distribution type, 20,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 20,Fault,192.168617
Dip Direction, Prior distribution paramter 2, 20,Fault,212.168617
Slip, Prior distribution type, 20,Fault,Uniform
Slip, Prior distribution paramter 1, 20,Fault,119.89730320000001
Slip, Prior distribution paramter 2, 20,Fault,149.871629
X, Prior distribution type, 21,Fault,Uniform
X, Prior distribution paramter 1, 21,Fault,3639.181799
X, Prior distribution paramter 2, 21,Fault,3899.181799
Y, Prior distribution type, 21,Fault,Uniform
