Property,Parameter,Event Number,Event Name,Parameter Value
YAxis, Prior distribution paramter 2, 6,Fault,5938.9513323
ZAxis, Prior distribution type, 6,Fault,Uniform
ZAxis, Prior distribution paramter 1, 6,Fault,5373.3369197
ZAxis, Prior distribution paramter 2, 6,Fault,5938.9513323
Dip, Prior distribution type, 6,Fault,Uniform
Dip, Prior distribution paramter 1, 6,Fault,60
Dip, Prior distribution paramter 2, 6,Fault,80
Dip Direction, Prior distribution type, 6,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 6,Fault,285.060905
Dip Direction, Prior distribution paramter 2, 6,Fault,305.060905
Slip, Prior distribution type, 6,Fault,Uniform
Slip, Prior distribution paramter 1, 6,Fault,361.99322400000005
Slip, Prior distribution paramter 2, 6,Fault,452.49153
X, Prior distribution type, 7,Fault,Uniform
X, Prior distribution paramter 1, 7,Fault,7435.779078
X, Prior distribution paramter 2, 7,Fault,7695.779078
Y, Prior distribution type, 7,Fault,Uniform
Y, Prior distribution paramter 1, 7,Fault,4585.785994
Y, Prior distribution paramter 2, 7,Fault,4845.785994
Z, Prior distribution type, 7,Fault,Uniform
Z, Prior distribution paramter 1, 7,Fault,3870.0
Z, Prior distribution paramter 2, 7,Fault,4130.0
XAxis, Prior distribution type, 7,Fault,Uniform
XAxis, Prior distribution paramter 1, 7,Fault,5557.8589366
XAxis, Prior distribution paramter 2, 7,Fault,6142.8967194
YAxis, Prior distribution type, 7,Fault,Uniform
YAxis, Prior distribution paramter 1, 7,Fault,5557.8589366
YAxis, Prior distribution paramter 2, 7,Fault,6142.8967194
ZAxis, Prior distribution type, 7,Fault,Uniform
ZAxis, Prior distribution paramter 1, 7,Fault,5557.8589366
ZAxis, Prior distribution paramter 2, 7,Fault,6142.8967194
Dip, Prior distribution type, 7,Fault,Uniform
Dip, Prior distribution paramter 1, 7,Fault,60
Dip, Prior distribution paramter 2, 7,Fault,80
Dip Direction, Prior distribution type, 7,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 7,Fault,111.299313
Dip Direction, Prior distribution paramter 2, 7,Fault,131.29931299999998
Slip, Prior distribution type, 7,Fault,Uniform
Slip, Prior distribution paramter 1, 7,Fault,374.42418080000004
Slip, Prior distribution paramter 2, 7,Fault,468.030226
X, Prior distribution type, 8,Fault,Uniform
X, Prior distribution paramter 1, 8,Fault,1396.579243
X, Prior distribution paramter 2, 8,Fault,1656.579243
Y, Prior distribution type, 8,Fault,Uniform
Y, Prior distribution paramter 1, 8,Fault,1766.59167
Y, Prior distribution paramter 2, 8,Fault,2026.59167
Z, Prior distribution type, 8,Fault,Uniform
Z, Prior distribution paramter 1, 8,Fault,3870.0
Z, Prior distribution paramter 2, 8,Fault,4130.0
XAxis, Prior distribution type, 8,Fault,Uniform
XAxis, Prior distribution paramter 1, 8,Fault,2569.57681595
XAxis, Prior distribution paramter 2, 8,Fault,2840.05858605
YAxis, Prior distribution type, 8,Fault,Uniform
YAxis, Prior distribution paramter 1, 8,Fault,2569.57681595
YAxis, Prior distribution paramter 2, 8,Fault,2840.05858605
ZAxis, Prior distribution type, 8,Fault,Uniform
ZAxis, Prior distribution paramter 1, 8,Fault,2569.57681595
ZAxis, Prior distribution paramter 2, 8,Fault,2840.05858605
Dip, Prior distribution type, 8,Fault,Uniform
Dip, Prior distribution paramter 1, 8,Fault,60
Dip, Prior distribution paramter 2, 8,Fault,80
Dip Direction, Prior distribution type, 8,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 8,Fault,274.732195
Dip Direction, Prior distribution paramter 2, 8,Fault,294.732195
Slip, Prior distribution type, 8,Fault,Uniform
Slip, Prior distribution paramter 1, 8,Fault,173.1083328
Slip, Prior distribution paramter 2, 8,Fault,216.385416
